name,ring,quadrant,isNew,description 
Jacoco,adopt,tools,FALSE,"<p><a href=""https://www.baeldung.com/jacoco""><strong>JaCoCo</strong></a> is a free Java code coverage library distributed under the Eclipse Public License.</p>"
LocalStack,assess,tools,FALSE,"<p>One of the challenges of using cloud services is being able to develop and test locally. <strong><a href=""https://github.com/localstack/localstack"">LocalStack</a></strong> solves this problem for <a href=""/radar/platforms/aws"">AWS</a> by providing local <a href=""https://martinfowler.com/bliki/TestDouble.html"">test double</a> implementations of a wide range of AWS services, including S3, Kinesis, DynamoDB and Lambda. It builds on top of best-of-breed tools such as <a href=""https://github.com/mhart/kinesalite"">Kinesalite</a>, <a href=""https://github.com/mhart/dynalite"">dynalite</a> and <a href=""https://github.com/spulec/moto"">Moto</a> and adds isolated processes and error injection functionality. LocalStack is very easy to use, ships with a simple JUnit runner and a JUnit 5 extension and can also run inside a docker container. For many teams, it has become the default for testing services that are deployed on AWS.</p> "
Terraform,trial,tools,FALSE,"<p><strong><a href=""https://www.terraform.io/"">Terraform</a></strong>, is rapidly becoming a de facto choice for creating and managing cloud infrastructures by writing declarative definitions. The configuration of the servers instantiated by Terraform is usually left to Puppet, Chef or Ansible. We like Terraform because the syntax of its files is quite readable and because it supports a number of cloud providers while making no attempt to provide an artificial abstraction across those providers. The active community will add support for the latest features from most cloud providers. Following our first, more cautious, mention of Terraform almost two years ago, it has seen continued development and has evolved into a stable product with a good ecosystem that has proven its value in our projects. The issue with state file management can now be sidestepped by using what Terraform calls a ""remote state backend."" We've successfully used <a href=""https://aws.amazon.com/s3/"">AWS S3</a> for that purpose.</p> "
SoapUI,hold,tools,TRUE,"<p>SoapUI is an open-source web service testing application for service-oriented architectures (SOA) and representational state transfers (REST). Its functionality covers web service inspection, invoking, development, simulation and mocking, functional testing, load and compliance testing</p> "
JMeter,adopt,tools,FALSE,"<p>The Apache JMeter application is open source software, a 100% pure Java application designed to load test functional behavior and measure performance. Apache JMeter may be used to test performance both on static and dynamic resources, Web dynamic applications. It can be used to simulate a heavy load on a server, group of servers, network or object to test its strength or to analyze overall performance under different load types</p> "
Chaos Toolkit,adopt,tools,FALSE,"<p> <b>Chaos toolkit</b> is a tool that orchestrates chaos engineering scenarios, this is achieved through drivers that expose functions that allow access to the system and its capabilities either to inject faults or to know your state. <b>This tool defined in Bancolombia</b></p>"
Serenity BDD,adopt,language-and-frameworks,TRUE,"<p><b>Serenity BDD</b> helps you write cleaner and more maintainable automated acceptance and regression tests faster. Serenity also uses the test results to produce illustrated, narrative reports that document and describe what your application does and how it works. Serenity tells you not only what tests have been executed, but more importantly, what requirements have been tested.</p> "
Jest,adopt,language-and-frameworks,FALSE,"<p><b>Jest</b> is a delightful JavaScript Testing Framework with a focus on simplicity. It works with projects using: Babel, TypeScript, Node, React, Angular, Vue and more!<br> Jest is a JavaScript testing framework designed to ensure correctness of any JavaScript codebase. It allows you to write tests with an approachable, familiar and feature-rich API that gives you results quickly. <br> Jest is well-documented, requires little configuration and can be extended to match your requirements. Jest makes testing delightful.</p> "
AWS CloudFormation,adopt,platforms,FALSE,"<p><a href=""https://aws.amazon.com/cloudformation/"">AWS CloudFormation</a> provides a common language for you to describe and provision all the infrastructure resources in your cloud environment. CloudFormation allows you to use programming languages or a simple text file to model and provision, in an automated and secure manner, all the resources needed for your applications across all regions and accounts. This gives you a single source of truth for your AWS resources </p> "
AWS CDK ,adopt,language-and-frameworks,FALSE,"<p><b>AWS Cloud Development Kit (AWS CDK)</b> is a software development framework for defining cloud infrastructure in code and provisioning it through AWS CloudFormation. <br>The AWS CDK supports TypeScript, JavaScript, Python, Java, and C#/.Net. </p>"
